오피스,4,14
케이크,0,11
오페라,3,13
에다가,0,52
초록색,4,11
무조건,4,54
강원도,7,16
지난주,5,13
하이라이트,10,26
화장실,3,12
목소리,4,31
어머니,13,71
지평선,1,13
비디오,0,19
플로우,0,13
목요일,6,13
시리즈,10,71
마우스,1,40
미디어,1,12
주의보,0,26
베트남,8,24
페이지,7,93
포인트,3,50
전동기,1,10
김지영,3,20
오히려,6,81
아이콘,10,72
퀘스트,1,28
마스크,3,15
스모그,1,14
아파트,8,72
최소한,2,10
게다가,9,44
휴대폰,9,40
스위치,0,10
사이트,11,105
가해자,1,13
이탈리아,3,12
가까이,5,53
크리스,1,19
라든지,0,29
업로드,3,25
포스트,1,12
