total time elapsed: 0h 0m 13s , epoch: 1, best accuracy: 20.00%, best loss 2.788229
total time elapsed: 0h 0m 15s , epoch: 2, best accuracy: 20.00%, best loss 2.788229
total time elapsed: 0h 0m 17s , epoch: 3, best accuracy: 20.00%, best loss 2.788229
total time elapsed: 0h 0m 19s , epoch: 4, best accuracy: 20.00%, best loss 2.726789
total time elapsed: 0h 0m 21s , epoch: 5, best accuracy: 20.00%, best loss 2.673222
total time elapsed: 0h 0m 22s , epoch: 6, best accuracy: 20.00%, best loss 2.456112
total time elapsed: 0h 0m 24s , epoch: 7, best accuracy: 20.00%, best loss 2.322545
total time elapsed: 0h 0m 26s , epoch: 8, best accuracy: 20.00%, best loss 2.235876
total time elapsed: 0h 0m 28s , epoch: 9, best accuracy: 20.00%, best loss 2.235876
total time elapsed: 0h 0m 30s , epoch: 10, best accuracy: 29.00%, best loss 2.068087
total time elapsed: 0h 0m 32s , epoch: 11, best accuracy: 29.00%, best loss 2.011725
total time elapsed: 0h 0m 34s , epoch: 12, best accuracy: 34.00%, best loss 1.951065
total time elapsed: 0h 0m 36s , epoch: 13, best accuracy: 34.00%, best loss 1.951065
total time elapsed: 0h 0m 38s , epoch: 14, best accuracy: 34.00%, best loss 1.729501
total time elapsed: 0h 0m 39s , epoch: 15, best accuracy: 41.00%, best loss 1.515396
total time elapsed: 0h 0m 41s , epoch: 16, best accuracy: 41.00%, best loss 1.515396
total time elapsed: 0h 0m 43s , epoch: 17, best accuracy: 41.00%, best loss 1.325335
total time elapsed: 0h 0m 45s , epoch: 18, best accuracy: 41.00%, best loss 1.325335
total time elapsed: 0h 0m 47s , epoch: 19, best accuracy: 49.00%, best loss 1.325335
total time elapsed: 0h 0m 49s , epoch: 20, best accuracy: 49.00%, best loss 1.325335
total time elapsed: 0h 0m 51s , epoch: 21, best accuracy: 49.00%, best loss 1.325335
total time elapsed: 0h 0m 53s , epoch: 22, best accuracy: 52.00%, best loss 1.325335
total time elapsed: 0h 0m 55s , epoch: 23, best accuracy: 52.00%, best loss 1.192437
total time elapsed: 0h 0m 56s , epoch: 24, best accuracy: 52.00%, best loss 1.192437
total time elapsed: 0h 0m 58s , epoch: 25, best accuracy: 52.00%, best loss 1.192437
total time elapsed: 0h 1m 0s , epoch: 26, best accuracy: 52.00%, best loss 1.129154
total time elapsed: 0h 1m 2s , epoch: 27, best accuracy: 52.00%, best loss 1.129154
total time elapsed: 0h 1m 4s , epoch: 28, best accuracy: 52.00%, best loss 1.129154
total time elapsed: 0h 1m 6s , epoch: 29, best accuracy: 52.00%, best loss 1.129154
total time elapsed: 0h 1m 8s , epoch: 30, best accuracy: 64.00%, best loss 1.129154
total time elapsed: 0h 1m 10s , epoch: 31, best accuracy: 65.00%, best loss 1.129154
total time elapsed: 0h 1m 12s , epoch: 32, best accuracy: 65.00%, best loss 1.129154
total time elapsed: 0h 1m 14s , epoch: 33, best accuracy: 65.00%, best loss 0.790218
total time elapsed: 0h 1m 16s , epoch: 34, best accuracy: 77.00%, best loss 0.674127
total time elapsed: 0h 1m 18s , epoch: 35, best accuracy: 77.00%, best loss 0.674127
total time elapsed: 0h 1m 19s , epoch: 36, best accuracy: 77.00%, best loss 0.674127
total time elapsed: 0h 1m 21s , epoch: 37, best accuracy: 77.00%, best loss 0.674127
total time elapsed: 0h 1m 23s , epoch: 38, best accuracy: 77.00%, best loss 0.584212
total time elapsed: 0h 1m 25s , epoch: 39, best accuracy: 82.00%, best loss 0.584212
total time elapsed: 0h 1m 27s , epoch: 40, best accuracy: 82.00%, best loss 0.540618
total time elapsed: 0h 1m 29s , epoch: 41, best accuracy: 85.00%, best loss 0.491317
total time elapsed: 0h 1m 31s , epoch: 42, best accuracy: 85.00%, best loss 0.491317
total time elapsed: 0h 1m 33s , epoch: 43, best accuracy: 85.00%, best loss 0.491317
total time elapsed: 0h 1m 35s , epoch: 44, best accuracy: 85.00%, best loss 0.491317
total time elapsed: 0h 1m 37s , epoch: 45, best accuracy: 85.00%, best loss 0.491317
total time elapsed: 0h 1m 39s , epoch: 46, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 40s , epoch: 47, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 42s , epoch: 48, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 44s , epoch: 49, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 46s , epoch: 50, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 48s , epoch: 51, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 50s , epoch: 52, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 52s , epoch: 53, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 53s , epoch: 54, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 55s , epoch: 55, best accuracy: 85.00%, best loss 0.424054
total time elapsed: 0h 1m 57s , epoch: 56, best accuracy: 85.00%, best loss 0.424054
